filename,city count,christofides,christofides time,Optimal,my method,my method time
eil51,51,522.0853757,0.006009817,426,520.9507591,0.013007879
berlin52,52,8941.561112,0.005998373,7542,8751.95385,0.012001038
st70,70,812.4289234,0.01099968,675,795.4315526,0.02600193
eil76,76,630.6497208,0.013999462,538,648.7279257,0.028002977
pr76,76,122829.1373,0.013001442,108159,149334.7319,0.032001734
rat99,99,1441.005528,0.020011663,1211,1597.267431,0.048003674
rd100,100,10024.81245,0.021010876,7910,9364.848994,0.052003384
kroC100,100,23985.39888,0.020991802,20749,23459.7182,0.049002171
kroA100,100,25280.9752,0.026003122,21282,27169.45105,0.055003643
kroB100,100,25678.36553,0.060006142,22141,24572.7176,0.094004869
kroE100,100,25767.00978,0.02100873,22068,25565.49974,0.050011396
kroD100,100,26503.42819,0.02099967,21294,25667.15894,0.050010681
eil101,101,779.3456065,0.022999763,629,855.4648501,0.058011055
lin105,105,18446.32887,0.023004293,14379,23102.24582,0.151008844
pr107,107,53447.91202,0.024007797,44303,67031.47741,0.075998783
pr124,124,70666.88934,0.036003351,59030,79069.91666,0.091006517
bier127,127,140081.6055,0.035001993,118282,142531.7004,0.085997105
ch130,130,7498.138988,0.036001205,6110,7267.152726,0.081223011
pr136,136,108026.794,0.045003176,96772,138577.6344,0.122006893
pr144,144,75857.37216,0.061004639,58537,84777.98198,0.146009922
ch150,150,7225.834274,0.047996044,6528,8126.395277,0.125125647
kroA150,150,30900.07908,0.055003166,26524,33328.77947,0.147010088
kroB150,150,33858.87417,0.067020178,26130,31591.71459,0.136003494
pr152,152,84406.85969,0.066005468,73682,103634.5581,0.135008812
u159,159,48931.78184,0.059004068,42080,64875.8585,0.159015179
rat195,195,2765.267868,0.088011026,2323,3185.617964,0.216019154
d198,198,18715.09828,0.09399724,15780,20738.92485,0.219025373
kroA200,200,35871.14334,0.114019871,29368,35539.73352,0.244020224
kroB200,200,38003.71257,0.087013721,29437,37449.36348,0.215024471
tsp225,225,4667.183359,0.11700511,3916,5704.250187,0.273020029
ts225,225,146728.3158,0.121008635,126643,191644.8398,0.305035353
pr226,226,110573.1604,0.118010283,80369,129619.5281,0.30502224
gil262,262,2914.418804,0.187013865,2378,3880.13905,0.394038916
pr264,264,59888.51788,0.15101862,49135,70391.91749,0.415039301
a280,280,3114.912882,0.239015818,2579,3747.751358,0.497042894
pr299,299,57755.15476,0.204023123,48191,62859.62296,0.658045053
lin318,318,52780.59697,0.304021597,42029,60492.93064,0.803069115
linhp318,318,52802.33147,0.25302434,41345,60492.93064,0.629042387
rd400,400,18842.93744,0.429044247,15281,19362.81255,1.072089195
fl417,417,15877.33645,0.430031538,11861,21130.23852,1.116090059
pr439,439,137588.2356,0.491050482,107217,143114.8032,1.472046375
pcb442,442,59795.42595,0.594044447,50778,70159.89631,1.289103746
d493,493,42291.99747,0.675055981,35002,46273.09534,1.830123425
u574,574,44489.55259,0.892078161,36905,52650.2604,2.853214979
rat575,575,8558.281769,0.848660231,6773,9408.87209,2.507121325
p654,654,43408.56055,1.224094629,34643,53583.05767,3.209382296
d657,657,58671.50888,1.367630482,48912,64493.74267,3.329236746
u724,724,52021.83354,1.577141047,41910,63333.20802,4.652354479
rat783,783,11047.0095,1.820140362,8806,11875.03638,5.224407434
dsj1000,1000,23341511.47,3.301247835,18659688,24515820.57,10.92246509
pr1002,1002,318356.2305,3.083237171,259045,369107.6068,10.17187095
u1060,1060,281096.001,3.528263092,224094,317659.9678,13.00682282
vm1084,1084,311114.8111,5.36238575,239297,355994.4123,21.44073057
pcb1173,1173,70023.5162,4.846834898,56892,79705.92297,15.09117293
d1291,1291,61225.26216,5.483353615,50801,70220.48968,18.9073205
rl1304,1304,294867.198,5.850510597,252948,389101.0581,19.55277276
rl1323,1323,312886.8805,6.039851189,270199,399762.7554,20.26634526
nrw1379,1379,68906.32964,6.730510473,56638,75161.75309,20.82176018
fl1400,1400,25885.34836,6.409010649,20127,29461.24907,24.66569948
u1432,1432,187397.8241,6.875519753,152970,204430.435,26.48884916
fl1577,1577,27776.31171,7.55813098,22249,32532.77055,36.07760477
d1655,1655,78118.57152,9.334701538,62128,87641.96267,36.84723783
vm1748,1748,412832.1347,20.0060544,336556,504231.7448,46.44026279
u1817,1817,72547.93085,14.54510784,57201,89146.6281,57.89625263
rl1889,1889,373855.6813,13.0902977,316536,468575.3397,52.60503387
